id,numpos,bytes,fen,dtm
KRKQQQ,973025640,149652523,1R6/8/8/4q3/3q4/3q4/8/k1K5 w - - ,7
KQQQQK,164394903,4055085,4Q1Q1/8/8/8/6QQ/8/4K3/k7 w - - ,5
KQQQKN,736854363,38767369,Q7/8/Q7/8/1Q6/8/2n5/K1k5 w - - ,15
KQQQKB,736854363,41627869,3Q4/3Q4/8/7Q/4b3/8/8/k6K w - - ,9
KQQQKR,736854363,46874733,8/1Q6/8/8/Kr6/3Q4/4Q3/2k5 w - - ,73
KQQQKQ,736854363,57948653,1Q6/Q7/8/8/3q4/8/2k5/K4Q2 w - - ,61
KQQKNN,1237357440,197251729,3Q3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQQKBN,2474714880,382996869,8/8/8/1Q5Q/8/2n5/K1k1b3/8 w - - ,95
KQQKRN,2474714880,456703589,8/8/8/8/6n1/3k4/1r4KQ/4Q3 w - - ,131
KQQKQN,2474714880,609608248,1Q5n/Q7/8/8/8/K7/3k4/q7 w - - ,119
KQQKBB,1237357440,218254055,8/8/4Q3/8/3k4/3b2b1/8/3QK3 w - - ,161
KQQKRB,2474714880,488567194,2Q5/8/8/7Q/8/4b2r/3k4/6K1 w - - ,139
KQQKQB,2474714880,635919020,7Q/4Q3/8/8/8/8/2k5/3qKb2 w - - ,141
KQQKRR,1237357440,300986706,r2K4/8/7r/8/8/3Q4/7Q/2k5 w - - ,95
KQQKQR,2474714880,725614167,5rq1/8/8/6QQ/5K2/8/8/k7 w - - ,137
KQQKQQ,1237357440,382839707,7K/3q4/8/3q4/8/7Q/7Q/1k6 w - - ,99
KQKNNN,922603650,353537425,n7/2n5/Q7/8/K7/8/8/1n1k4 w - - ,161
KQKBNN,2767810950,1299505383,8/8/8/5K2/7n/8/5b1Q/k3n3 w - - ,177
KQKRNN,2767810950,848674116,7n/1n6/3Q4/8/2K5/8/5r2/2k5 w - - ,163
KQKQNN,2767810950,1073397475,7q/8/8/8/8/2k5/3n4/1Q1K3n w - - ,147
KQKBBN,2767810950,1381494427,8/8/6b1/7n/8/4K2Q/1k6/6b1 w - - ,227
KQKRBN,5535621900,1956813271,7r/Q7/1K6/8/7b/8/7n/1k6 w - - ,157
KQKQBN,5535621900,2784132286,8/8/8/8/8/3k2q1/3n4/Qb5K w - - ,109
KQKRRN,2767810950,1085772288,1r6/8/8/8/5r2/Q6K/7n/1k6 w - - ,141
KQKQRN,5535621900,2182428493,8/2Q5/8/7n/8/3k4/1r6/3Kq3 w - - ,139
KQKQQN,2767810950,867013494,q7/8/q1n5/8/2Q5/2K5/8/2k5 w - - ,49
KQKBBB,922603650,407073242,8/8/8/5b2/7b/6b1/8/k4KQ1 w - - ,193
KQKRBB,2767810950,872828333,1Q6/5b2/8/8/7K/8/8/b1k3r1 w - - ,177
